RX: /dev/ttyUSB0, TX: /dev/ttyUSB1
[0000000162] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000162] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000162] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000162] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000162] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000162] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000162] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000162] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000162] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000163] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000000712] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000005711] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000010711] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000015710] [DS:00|CON: NO] a<--b 3a|00|03|b4|04|00|0a
[0000016233] [DS:00|CON: NO] a<--b 3a|00|03|b4|00|00|0a
[0000016247] [DS:00|CON: NO] a-->b 3a|00|06|b3|05|33|00|64|32|0a
[0000018216] [DS:00|CON: NO] a<--b 3a|00|16|b2|05|00|12|00|00|06|00|0a|e2|99|92|99|92|f9|c0|07|00|00|ff|00|00|0a
7seg setting: seq(00)
[0000018234] [DS:00|CON: NO] a-->b 3a|00|0a|b2|06|00|06|00|00|06|00|01|00|0a
[0000018749] [DS:00|CON: NO] a<--b 3a|00|09|b2|05|00|05|01|00|01|00|00|0a
auth init: seq(01)
[0000018777] [DS:00|CON: NO] a-->b 3a|00|1a|b2|06|00|16|01|00|01|00|11|00|fc|60|5d|b6|fc|60|5d|b6|fc|60|5d|b6|90|79|fe|aa|0a
[0000018839] [DS:00|CON: NO] a<--b 3a|00|4f|b2|05|00|4b|02|00|02|00|46|00|00|00|00|00|00|36|51|67|35|64|46|44|76|61|4c|63|35|56|42|63|64|56|67|5a|41|70|57|59|53|79|51|47|6c|39|4d|68|79|2d|89|fa|8b|f7|e5|fb|3b|f6|f6|cf|d9|de|86|dd|37|f7|ef|f5|9c|2c|a3|6f|e5|09|b9|06|f4|09|85|9d|4c|0a
[0000018880] [DS:00|CON: NO] a-->b 3a|00|18|b2|01|00|14|00|00|42|00|0f|90|78|56|34|12|89|67|45|23|01|23|00|00|00|00|0a
[0000018888] [DS:00|CON: NO] a-->b 3a|00|0b|b2|00|00|07|00|00|41|00|02|1f|07|0a
[0000018916] [DS:00|CON: NO] a-->b 3a|00|27|b2|0a|00|23|00|0f|00|00|1e|4b|6f|68|61|2e|2c|43|6f|20|20|53|41|56|4c|30|31|39|31|20|20|ff|00|00|a2|00|01|01|06|00|80|0a
[0000018928] [DS:00|CON: NO] a-->b 3a|00|0a|b2|06|00|06|02|00|02|00|01|00|0a
[0000018956] [DS:00|CON: NO] a<--b 3a|00|09|b2|08|00|05|03|00|08|00|00|0a
[0000018976] [DS:00|CON: NO] a-->b 3a|00|0a|b2|09|00|06|00|00|08|00|01|00|0a
[0000018992] [DS:00|CON: NO] a-->b 3a|00|15|b2|0a|00|11|00|24|f7|33|b1|d1|52|8f|92|2c|77|ce|41|dc|c7|7b|0a|0a
[0000019051] [DS:00|CON: NO] a-->b 3a|00|23|b2|07|00|1f|00|00|83|00|1a|80|1f|ea|15|00|1f|ea|15|00|41|04|46|00|00|00|00|00|1f|ea|15|00|00|00|00|00|1f|0a
[0000019105] [DS:00|CON: NO] a<--b 3a|00|03|b4|01|13|0a
